32
0	1136	1277	1433	1289	1388	1585	1835	1880	1328	1339	1260	1689	1278	1127	1152	1434	1243	1046	1943	1855	1254	1690	1958	1755	1303	1380	1856	1888	1292	1606	1986	
1136	0	1817	1177	1301	1733	1637	1941	1806	1740	1140	1424	1788	1614	1357	1727	1844	1971	1595	1245	1274	1420	1097	1518	1948	1600	1470	1660	1647	2010	1198	1885	
1277	1817	0	1080	1514	1316	1804	1578	1376	1213	1994	1508	1512	1559	1106	1501	1416	1204	2045	1443	1909	1043	1814	1721	1798	1774	1515	1929	1117	1448	1460	1186	
1433	1177	1080	0	1910	1263	1526	1273	1329	1169	1962	2040	1845	1248	2032	1427	1677	1299	1792	1597	1259	1560	1881	1839	1731	2012	1282	1063	1554	1628	1925	1391	
1289	1301	1514	1910	0	1171	1317	1184	1298	1696	1365	1650	1764	1404	1202	1988	1718	1347	1571	1826	1352	1447	1605	1511	1861	1469	1048	1229	1753	1794	1949	1247	
1388	1733	1316	1263	1171	0	1244	1356	2039	1374	1025	1414	2009	1281	1114	1194	1790	1904	1149	1052	1373	1409	1951	1604	1516	2031	1635	1088	1493	1206	1436	1486	
1585	1637	1804	1526	1317	1244	0	1049	1828	1779	1820	1567	1918	1535	2002	1082	1573	1669	2006	1541	1085	1183	1629	1723	1553	1938	1803	1649	1771	1882	1120	1094	
1835	1941	1578	1273	1184	1356	1049	0	1616	1644	1899	1805	1625	1872	1533	1916	1867	1372	1087	1164	1477	1290	1747	1824	1438	1748	1719	1231	1195	1543	1196	1225	
1880	1806	1376	1329	1298	2039	1828	1616	0	1130	1467	1224	1705	1024	1809	1956	1498	1859	1586	1726	1699	1945	1102	1122	1027	1584	1884	1536	1321	1039	1808	1714	
1328	1740	1213	1169	1696	1374	1779	1644	1130	0	1546	1351	1296	1875	1762	1326	1361	1399	1233	1209	1684	1746	1761	1931	1431	1641	1540	1331	1308	1623	1557	1598	
1339	1140	1994	1962	1365	1025	1820	1899	1467	1546	0	1270	1928	1031	1355	1028	1276	1935	1474	1185	1264	1440	1896	2048	1975	1178	1455	1561	1671	1099	1319	1563	
1260	1424	1508	2040	1650	1414	1567	1805	1224	1351	1270	0	2030	1058	1098	2024	1819	1783	1947	1133	1876	1343	2013	1471	1410	1913	1784	1287	1053	1072	1157	1552	
1689	1788	1512	1845	1764	2009	1918	1625	1705	1296	1928	2030	0	1908	1707	1972	1797	1417	1113	1181	1271	1758	1562	1538	2025	1387	1459	1295	1422	1314	1220	1576	
1278	1614	1559	1248	1404	1281	1535	1872	1024	1875	1031	1058	1908	0	1479	1937	1661	1389	1147	1532	2008	1065	1732	1446	1336	1040	2029	1843	1930	1834	1712	1407	
1127	1357	1106	2032	1202	1114	2002	1533	1809	1762	1355	1098	1707	1479	0	1261	1306	1520	1042	1722	1667	1115	1915	1167	1619	1325	1664	1862	1564	1521	1599	1426	
1152	1727	1501	1427	1988	1194	1082	1916	1956	1326	1028	2024	1972	1937	1261	0	1528	1507	1773	1258	1870	1675	1760	1976	1691	2027	1057	1235	1741	1262	1510	1879	
1434	1844	1416	1677	1718	1790	1573	1867	1498	1361	1276	1819	1797	1661	1306	1528	0	1232	1430	1489	2016	1946	1096	1509	1670	1059	1924	1897	1062	1384	1419	1219	
1243	1971	1204	1299	1347	1904	1669	1372	1859	1399	1935	1783	1417	1389	1520	1507	1232	0	1476	1895	1617	1942	1286	1110	1593	1602	1767	1070	1653	1646	1415	2020	
1046	1595	2045	1792	1571	1149	2006	1087	1586	1233	1474	1947	1113	1147	1042	1773	1430	1476	0	1116	1668	1745	1297	1100	1265	1812	1592	1613	2000	2011	1435	1709	
1943	1245	1443	1597	1826	1052	1541	1164	1726	1209	1185	1133	1181	1532	1722	1258	1489	1895	1116	0	1165	1659	1037	1077	1068	1315	1124	1594	1769	1156	1524	1991	
1855	1274	1909	1259	1352	1373	1085	1477	1699	1684	1264	1876	1271	2008	1667	1870	2016	1617	1668	1165	0	1369	1109	1118	2007	1161	1359	1105	1345	1145	1887	1310	
1254	1420	1043	1560	1447	1409	1183	1290	1945	1746	1440	1343	1758	1065	1115	1675	1946	1942	1745	1659	1369	0	1974	1123	1101	1148	1739	1332	1545	1067	2035	1807	
1690	1097	1814	1881	1605	1951	1629	1747	1102	1761	1896	2013	1562	1732	1915	1760	1096	1286	1297	1037	1109	1974	0	1911	1309	1396	2015	1172	1583	1340	1626	1451	
1958	1518	1721	1839	1511	1604	1723	1824	1122	1931	2048	1471	1538	1446	1167	1976	1509	1110	1100	1077	1118	1123	1911	0	1558	1189	1549	1837	1551	1922	1119	1490	
1755	1948	1798	1731	1861	1516	1553	1438	1027	1431	1975	1410	2025	1336	1619	1691	1670	1593	1265	1068	2007	1101	1309	1558	0	1044	1342	1311	2047	1713	1849	1778	
1303	1600	1774	2012	1469	2031	1938	1748	1584	1641	1178	1913	1387	1040	1325	2027	1059	1602	1812	1315	1161	1148	1396	1189	1044	0	1472	1608	1337	1203	1575	1989	
1380	1470	1515	1282	1048	1635	1803	1719	1884	1540	1455	1784	1459	2029	1664	1057	1924	1767	1592	1124	1359	1739	2015	1549	1342	1472	0	1029	1256	1135	1078	1041	
1856	1660	1929	1063	1229	1088	1649	1231	1536	1331	1561	1287	1295	1843	1862	1235	1897	1070	1613	1594	1105	1332	1172	1837	1311	1608	1029	0	1318	1912	1423	1322	
1888	1647	1117	1554	1753	1493	1771	1195	1321	1308	1671	1053	1422	1930	1564	1741	1062	1653	2000	1769	1345	1545	1583	1551	2047	1337	1256	1318	0	2033	1800	1656	
1292	2010	1448	1628	1794	1206	1882	1543	1039	1623	1099	1072	1314	1834	1521	1262	1384	1646	2011	1156	1145	1067	1340	1922	1713	1203	1135	1912	2033	0	1036	1506	
1606	1198	1460	1925	1949	1436	1120	1196	1808	1557	1319	1157	1220	1712	1599	1510	1419	1415	1435	1524	1887	2035	1626	1119	1849	1575	1078	1423	1800	1036	0	1630	
1986	1885	1186	1391	1247	1486	1094	1225	1714	1598	1563	1552	1576	1407	1426	1879	1219	2020	1709	1991	1310	1807	1451	1490	1778	1989	1041	1322	1656	1506	1630	0	
