25
0	529	743	762	510	989	329	542	680	220	405	187	264	651	140	760	648	825	322	535	747	656	832	509	897	
529	0	372	684	236	469	63	489	962	723	105	553	349	677	949	828	93	649	546	595	668	725	939	367	738	
743	372	0	890	196	294	611	795	432	212	796	217	169	487	774	82	921	982	414	782	685	473	427	881	491	
762	684	890	0	516	905	914	903	941	946	844	640	998	528	708	971	999	737	817	950	310	644	249	379	556	
510	236	196	516	0	141	235	206	814	219	501	455	506	574	756	130	358	929	451	716	184	851	727	323	858	
989	469	294	905	141	0	275	788	717	144	131	412	917	234	662	846	443	274	397	604	503	755	624	87	65	
329	63	611	914	235	275	0	537	981	983	940	519	955	592	465	838	646	522	745	334	802	711	437	964	687	
542	489	795	903	206	788	537	0	596	392	182	750	721	484	101	450	237	390	374	375	354	444	719	629	975	
680	962	432	941	814	717	981	596	0	996	278	701	439	132	94	325	612	197	461	300	97	468	61	199	285	
220	723	212	946	219	144	983	392	996	0	341	330	86	698	736	749	628	954	492	986	353	906	587	724	885	
405	105	796	844	501	131	940	182	278	341	0	366	287	552	172	740	664	447	124	695	862	853	871	195	241	
187	553	217	640	455	412	519	750	701	330	366	0	148	995	660	62	754	337	314	486	98	151	977	273	193	
264	349	169	998	506	917	955	721	439	86	287	148	0	576	922	452	691	776	71	99	292	326	361	462	1000	
651	677	487	528	574	234	592	484	132	698	552	995	576	0	198	836	348	313	565	571	823	316	189	448	476	
140	949	774	708	756	662	465	101	94	736	172	660	922	198	0	425	253	557	637	485	892	974	924	566	213	
760	828	82	971	130	846	838	450	325	749	740	62	452	836	425	0	299	540	472	433	498	607	117	601	268	
648	93	921	999	358	443	646	237	612	628	664	754	691	348	253	299	0	232	947	445	980	703	956	834	544	
825	649	982	737	929	274	522	390	197	954	447	337	776	313	557	540	232	0	312	201	159	419	959	873	164	
322	546	414	817	451	397	745	374	461	492	124	314	71	565	637	472	947	312	0	645	107	269	579	650	830	
535	595	782	950	716	604	334	375	300	986	695	486	99	571	485	433	445	201	645	0	513	580	689	590	179	
747	668	685	310	184	503	802	354	97	353	862	98	292	823	892	498	980	159	107	513	0	91	631	847	55	
656	725	473	644	851	755	711	444	468	906	853	151	326	316	974	607	703	419	269	580	91	0	262	207	753	
832	939	427	249	727	624	437	719	61	587	871	977	361	189	924	117	956	959	579	689	631	262	0	697	775	
509	367	881	379	323	87	964	629	199	724	195	273	462	448	566	601	834	873	650	590	847	207	697	0	470	
897	738	491	556	858	65	687	975	285	885	241	193	1000	476	213	268	544	164	830	179	55	753	775	470	0	
